time,enemyId,aiType,action,activeGlitch,health,distToPlayer,canSeePlayer
2.52,Utility Enemy 11,Utility,AttackAction,None,1.00,30.7,0
2.52,Utility Enemy 13,Utility,AttackAction,None,1.00,47.8,0
2.52,Utility Enemy 15,Utility,AttackAction,None,1.00,78.6,0
2.52,Utility Enemy 5,Utility,AttackAction,None,1.00,83.7,0
2.52,Utility Enemy 2,Utility,AttackAction,None,1.00,84.8,0
2.52,Utility Enemy 8,Utility,AttackAction,None,1.00,75.5,0
2.52,Utility Enemy 4,Utility,AttackAction,None,1.00,60.6,0
2.52,Utility Enemy 14,Utility,AttackAction,None,1.00,53.1,0
2.52,Utility Enemy 3,Utility,AttackAction,None,1.00,64.9,0
3.03,Player,Player,-,None,1.00,,0
3.03,FSM Enemy 12,FSM,PatrolState,None,1.00,37.0,0
3.03,FSM Enemy 15,FSM,PatrolState,None,1.00,23.1,0
3.03,FSM Enemy 13,FSM,PatrolState,None,1.00,44.6,0
3.03,FSM Enemy 4,FSM,PatrolState,None,0.90,50.7,0
3.03,FSM Enemy 6,FSM,PatrolState,None,0.80,40.4,0
3.03,FSM Enemy 7,FSM,PatrolState,None,1.00,21.3,0
3.03,FSM Enemy 3,FSM,PatrolState,None,0.90,75.9,0
3.03,FSM Enemy 5,FSM,PatrolState,None,1.00,65.6,0
3.03,FSM Enemy 8,FSM,PatrolState,None,1.00,43.3,0
3.03,FSM Enemy 9,FSM,PatrolState,None,1.00,32.7,0
3.03,FSM Enemy 11,FSM,PatrolState,None,0.90,35.8,0
3.03,FSM Enemy 2,FSM,PatrolState,None,1.00,94.0,0
3.03,FSM Enemy 10,FSM,PatrolState,None,1.00,67.6,0
3.03,FSM Enemy 1,FSM,PatrolState,None,1.00,90.6,0
3.03,FSM Enemy 14,FSM,PatrolState,None,1.00,83.5,0
3.03,Utility Enemy 9,Utility,AttackAction,None,1.00,49.4,0
3.03,Utility Enemy 10,Utility,AttackAction,None,1.00,35.3,0
3.03,Utility Enemy 12,Utility,AttackAction,None,1.00,38.7,0
3.03,Utility Enemy 6,Utility,AttackAction,None,1.00,37.0,0
3.03,Utility Enemy 1,Utility,AttackAction,None,1.00,83.2,0
3.03,Utility Enemy 7,Utility,AttackAction,None,1.00,47.1,0
3.03,Utility Enemy 11,Utility,AttackAction,None,1.00,28.7,0
3.03,Utility Enemy 13,Utility,AttackAction,None,1.00,46.1,0
3.03,Utility Enemy 15,Utility,AttackAction,None,1.00,78.0,0
3.03,Utility Enemy 5,Utility,AttackAction,None,1.00,84.0,0
3.03,Utility Enemy 2,Utility,AttackAction,None,1.00,85.6,0
3.03,Utility Enemy 8,Utility,AttackAction,None,1.00,74.6,0
3.03,Utility Enemy 4,Utility,AttackAction,None,1.00,59.3,0
3.03,Utility Enemy 14,Utility,AttackAction,None,1.00,55.0,0
3.03,Utility Enemy 3,Utility,AttackAction,None,1.00,66.5,0
3.53,Player,Player,-,None,1.00,,0
3.53,FSM Enemy 12,FSM,PatrolState,None,1.00,40.2,0
3.53,FSM Enemy 15,FSM,PatrolState,None,1.00,21.0,0
3.53,FSM Enemy 13,FSM,PatrolState,None,1.00,43.9,0
3.53,FSM Enemy 4,FSM,PatrolState,None,0.90,52.4,0
3.53,FSM Enemy 6,FSM,PatrolState,None,0.80,43.7,0
3.53,FSM Enemy 7,FSM,PatrolState,None,1.00,19.9,0
3.53,FSM Enemy 3,FSM,PatrolState,None,0.90,76.1,0
3.53,FSM Enemy 5,FSM,PatrolState,None,1.00,65.2,0
3.53,FSM Enemy 8,FSM,PatrolState,None,1.00,42.5,0
3.53,FSM Enemy 9,FSM,PatrolState,None,1.00,32.0,0
3.53,FSM Enemy 11,FSM,PatrolState,None,0.90,34.4,0
3.53,FSM Enemy 2,FSM,PatrolState,None,1.00,94.9,0
3.53,FSM Enemy 10,FSM,PatrolState,None,1.00,67.4,0
3.53,FSM Enemy 1,FSM,PatrolState,None,1.00,89.2,0
3.53,FSM Enemy 14,FSM,PatrolState,None,1.00,85.7,0
3.53,Utility Enemy 9,Utility,AttackAction,None,1.00,51.4,0
3.53,Utility Enemy 10,Utility,AttackAction,None,1.00,37.4,0
3.53,Utility Enemy 12,Utility,AttackAction,None,1.00,40.8,0
3.53,Utility Enemy 6,Utility,AttackAction,None,1.00,34.9,0
3.53,Utility Enemy 1,Utility,AttackAction,None,1.00,82.9,0
3.53,Utility Enemy 7,Utility,AttackAction,None,1.00,49.2,0
3.53,Utility Enemy 11,Utility,AttackAction,None,1.00,26.7,0
3.53,Utility Enemy 13,Utility,AttackAction,None,1.00,44.5,0
3.53,Utility Enemy 15,Utility,AttackAction,None,1.00,77.4,0
3.53,Utility Enemy 5,Utility,AttackAction,None,1.00,84.2,0
3.53,Utility Enemy 2,Utility,AttackAction,None,1.00,86.3,0
3.53,Utility Enemy 8,Utility,AttackAction,None,1.00,73.7,0
3.53,Utility Enemy 4,Utility,AttackAction,None,1.00,58.1,0
3.53,Utility Enemy 14,Utility,AttackAction,None,1.00,56.9,0
3.53,Utility Enemy 3,Utility,AttackAction,None,1.00,68.1,0
4.03,Player,Player,-,None,0.95,,0
4.03,FSM Enemy 12,FSM,PatrolState,None,1.00,44.3,0
4.03,FSM Enemy 15,FSM,PatrolState,None,1.00,18.9,0
4.03,FSM Enemy 13,FSM,PatrolState,None,1.00,41.5,0
4.03,FSM Enemy 4,FSM,PatrolState,None,0.90,54.4,0
4.03,FSM Enemy 6,FSM,PatrolState,None,0.80,47.7,0
4.03,FSM Enemy 7,FSM,Dead,None,0.00,17.7,0
4.03,FSM Enemy 3,FSM,PatrolState,None,0.90,76.7,0
4.03,FSM Enemy 5,FSM,PatrolState,None,1.00,64.7,0
4.03,FSM Enemy 8,FSM,PatrolState,None,1.00,43.5,0
4.03,FSM Enemy 9,FSM,PatrolState,None,1.00,31.7,0
4.03,FSM Enemy 11,FSM,PatrolState,None,0.90,32.2,0
4.03,FSM Enemy 2,FSM,PatrolState,None,1.00,96.2,0
4.03,FSM Enemy 10,FSM,PatrolState,None,1.00,67.7,0
4.03,FSM Enemy 1,FSM,PatrolState,None,1.00,87.8,0
4.03,FSM Enemy 14,FSM,PatrolState,None,1.00,88.6,0
4.03,Utility Enemy 9,Utility,AttackAction,None,1.00,54.1,0
4.03,Utility Enemy 10,Utility,AttackAction,None,1.00,40.2,0
4.03,Utility Enemy 12,Utility,AttackAction,None,1.00,43.6,0
4.03,Utility Enemy 6,Utility,AttackAction,None,1.00,32.1,0
4.03,Utility Enemy 1,Utility,AttackAction,None,1.00,82.8,0
4.03,Utility Enemy 7,Utility,AttackAction,None,1.00,52.0,0
4.03,Utility Enemy 11,Utility,AttackAction,None,1.00,24.1,0
4.03,Utility Enemy 13,Utility,AttackAction,None,1.00,42.3,0
4.03,Utility Enemy 15,Utility,AttackAction,None,1.00,76.7,0
4.03,Utility Enemy 5,Utility,AttackAction,None,1.00,84.7,0
4.03,Utility Enemy 2,Utility,AttackAction,None,1.00,87.4,0
4.03,Utility Enemy 8,Utility,AttackAction,None,1.00,72.6,0
4.03,Utility Enemy 4,Utility,AttackAction,None,1.00,56.5,0
4.03,Utility Enemy 14,Utility,AttackAction,None,1.00,59.6,0
4.03,Utility Enemy 3,Utility,AttackAction,None,1.00,70.4,0
4.53,Player,Player,-,None,0.95,,0
4.53,FSM Enemy 12,FSM,PatrolState,None,1.00,48.6,0
4.53,FSM Enemy 15,FSM,PatrolState,None,1.00,17.4,0
4.53,FSM Enemy 13,FSM,PatrolState,None,1.00,38.5,0
4.53,FSM Enemy 4,FSM,PatrolState,None,0.90,56.6,0
4.53,FSM Enemy 6,FSM,PatrolState,None,0.80,51.3,0
4.53,FSM Enemy 7,FSM,Dead,None,0.00,14.7,0
4.53,FSM Enemy 3,FSM,PatrolState,None,0.90,77.8,0
4.53,FSM Enemy 5,FSM,PatrolState,None,1.00,64.0,0
4.53,FSM Enemy 8,FSM,PatrolState,None,1.00,45.4,0
4.53,FSM Enemy 9,FSM,PatrolState,None,1.00,31.7,0
4.53,FSM Enemy 11,FSM,PatrolState,None,0.90,29.4,0
4.53,FSM Enemy 2,FSM,PatrolState,None,1.00,98.5,0
4.53,FSM Enemy 10,FSM,PatrolState,None,1.00,68.1,0
4.53,FSM Enemy 1,FSM,PatrolState,None,1.00,86.4,0
4.53,FSM Enemy 14,FSM,PatrolState,None,1.00,90.9,0
4.53,Utility Enemy 9,Utility,AttackAction,None,1.00,57.2,0
4.53,Utility Enemy 10,Utility,AttackAction,None,1.00,43.2,0
4.53,Utility Enemy 12,Utility,AttackAction,None,1.00,46.7,0
4.53,Utility Enemy 6,Utility,AttackAction,None,1.00,29.0,0
4.53,Utility Enemy 1,Utility,AttackAction,None,1.00,82.5,0
4.53,Utility Enemy 7,Utility,AttackAction,None,1.00,55.1,0
4.53,Utility Enemy 11,Utility,AttackAction,None,0.75,21.2,0
4.53,Utility Enemy 13,Utility,AttackAction,None,1.00,39.9,0
4.53,Utility Enemy 15,Utility,AttackAction,None,1.00,75.9,0
4.53,Utility Enemy 5,Utility,AttackAction,None,1.00,85.3,0
4.53,Utility Enemy 2,Utility,AttackAction,None,1.00,88.7,0
4.53,Utility Enemy 8,Utility,AttackAction,None,1.00,71.4,0
4.53,Utility Enemy 4,Utility,AttackAction,None,1.00,54.8,0
4.53,Utility Enemy 14,Utility,AttackAction,None,1.00,62.4,0
4.53,Utility Enemy 3,Utility,AttackAction,None,1.00,72.9,0
5.03,Player,Player,-,None,0.95,,0
5.03,FSM Enemy 12,FSM,PatrolState,None,1.00,52.8,0
5.03,FSM Enemy 15,FSM,PatrolState,None,1.00,16.6,0
